,Registration Date,fips,size
404,04/04/2020,948,2
405,04/04/2020,1072,1
406,04/04/2020,1073,1
407,04/04/2020,1074,1
408,04/04/2020,1131,1
409,04/04/2020,1238,2
410,04/04/2020,1281,1
411,04/04/2020,1287,2
412,04/04/2020,1294,1
413,04/04/2020,1295,2
414,04/04/2020,1299,1
415,04/04/2020,1334,2
416,04/04/2020,1342,1
417,04/04/2020,1403,2
418,04/04/2020,1405,1
419,04/04/2020,1446,1
420,04/04/2020,1461,15
421,04/04/2020,1465,1
422,04/04/2020,1521,5
423,04/04/2020,1555,1
424,04/04/2020,1619,1
425,04/04/2020,1623,1
426,04/04/2020,1662,1
427,04/04/2020,1669,1
428,04/04/2020,1672,1
429,04/04/2020,1724,1
430,04/04/2020,2021,1
431,04/04/2020,2282,1
576,05/04/2020,1460,1
577,05/04/2020,1461,9
754,06/04/2020,784,2
755,06/04/2020,862,1
756,06/04/2020,952,4
757,06/04/2020,1019,1
758,06/04/2020,1294,1
759,06/04/2020,1299,1
760,06/04/2020,1461,3
761,06/04/2020,1500,2
762,06/04/2020,1509,1
763,06/04/2020,1556,1
764,06/04/2020,1640,1
765,06/04/2020,1725,1
1067,08/04/2020,749,1
1068,08/04/2020,1073,1
1069,08/04/2020,1281,1
1070,08/04/2020,1294,1
1071,08/04/2020,1513,1
1234,09/04/2020,627,1
1235,09/04/2020,859,1
1236,09/04/2020,967,1
1237,09/04/2020,1063,1
1238,09/04/2020,1074,30
1239,09/04/2020,1131,1
1240,09/04/2020,1182,1
1241,09/04/2020,1183,1
1242,09/04/2020,1238,3
1243,09/04/2020,1287,1
1244,09/04/2020,1349,1
1245,09/04/2020,1354,1
1246,09/04/2020,1406,1
1247,09/04/2020,1460,6
1248,09/04/2020,1468,2
1249,09/04/2020,1515,2
1250,09/04/2020,1662,1
1251,09/04/2020,1679,1
1252,09/04/2020,1729,1
1253,09/04/2020,1957,2
1426,10/04/2020,637,1
1427,10/04/2020,855,1
1428,10/04/2020,862,1
1429,10/04/2020,962,1
1430,10/04/2020,1019,1
1431,10/04/2020,1072,1
1432,10/04/2020,1074,2
1433,10/04/2020,1126,1
1434,10/04/2020,1128,1
1435,10/04/2020,1183,1
1436,10/04/2020,1238,3
1437,10/04/2020,1293,6
1438,10/04/2020,1294,5
1439,10/04/2020,1296,1
1440,10/04/2020,1349,1
1441,10/04/2020,1350,1
1442,10/04/2020,1405,2
1443,10/04/2020,1460,8
1444,10/04/2020,1461,15
1445,10/04/2020,1510,1
1446,10/04/2020,1514,1
1447,10/04/2020,1515,2
1448,10/04/2020,1516,2
1449,10/04/2020,1582,2
1450,10/04/2020,1676,1
1451,10/04/2020,1726,1
1621,11/04/2020,584,1
1622,11/04/2020,750,1
1623,11/04/2020,859,2
1624,11/04/2020,967,3
1625,11/04/2020,1019,1
1626,11/04/2020,1072,1
1627,11/04/2020,1073,2
1628,11/04/2020,1074,2
1629,11/04/2020,1128,1
1630,11/04/2020,1131,2
1631,11/04/2020,1238,4
1632,11/04/2020,1293,3
1633,11/04/2020,1351,1
